scenario_id,policy_name,bulk_pressure,urgent_arrival_phase,urgent_tightness,seed,held_out,status,arrival_normalized_weighted_goodput,unweighted_slo_success_rate,completion_fraction,bulk_n,bulk_slo_success_rate,urgent_n,urgent_slo_success_rate,peak_kv_utilization,steps_over_reserve_threshold,n_steps,n_reserve_deferrals
kvp2.bulk24.phaseearly.tightloose.s20260915,kv_constrained_online,high,early,loose,20260915,True,success,0.7352941176470589,0.7352941176470589,1.0,24,0.625,10,1.0,1.118,2031,4916,3447
kvp2.bulk24.phaseearly.tighttight.s20260912,kv_constrained_online,high,early,tight,20260912,False,success,0.7058823529411765,0.7058823529411765,1.0,24,0.5833333333333334,10,1.0,1.066,1982,4235,1151
kvp2.bulk24.phaseearly.tighttight.s20260914,kv_constrained_online,high,early,tight,20260914,True,success,0.9411764705882353,0.9411764705882353,1.0,24,0.9166666666666666,10,1.0,1.1113333333333333,1997,2702,972
kvp2.bulk24.phaseearly.tighttight.s20260914,least_laxity_first,high,early,tight,20260914,True,success,0.8823529411764706,0.8823529411764706,1.0,24,0.9583333333333334,10,0.7,1.1563333333333334,2213,2548,0
kvp2.bulk24.phaseearly.tighttight.s20260913,least_laxity_first,high,early,tight,20260913,False,success,0.6176470588235294,0.6176470588235294,1.0,24,0.5833333333333334,10,0.7,1.1265,2529,3890,0
kvp2.bulk24.phaseearly.tighttight.s20260913,kv_constrained_online,high,early,tight,20260913,False,success,0.8235294117647058,0.8235294117647058,1.0,24,0.75,10,1.0,1.0908333333333333,1881,4487,328
kvp2.bulk24.phaseearly.tighttight.s20260915,least_laxity_first,high,early,tight,20260915,True,success,0.4411764705882353,0.4411764705882353,1.0,24,0.5416666666666666,10,0.2,1.1043333333333334,3333,3962,0
kvp2.bulk24.phaseearly.tighttight.s20260912,least_laxity_first,high,early,tight,20260912,False,success,0.5882352941176471,0.5882352941176471,1.0,24,0.625,10,0.5,1.0773333333333333,2462,3694,0
kvp2.bulk24.phaseearly.tighttight.s20260915,kv_constrained_online,high,early,tight,20260915,True,success,0.7352941176470589,0.7352941176470589,1.0,24,0.625,10,1.0,1.1443333333333334,2342,4837,244
kvp2.bulk24.phasemiddle.tightloose.s20260910,least_laxity_first,high,middle,loose,20260910,False,success,0.7647058823529411,0.7647058823529411,1.0,24,0.6666666666666666,10,1.0,1.1346666666666667,2538,4369,0
